Calendar Year,Property ID,Property Adress,Property ZIP Code,Year Built,ENERGY STAR Score,Site EUI (kBtu/ft²),Site Energy Use (kBtu),Indoor Water Use (All Water Sources) (kgal),Borough,Latitude,Longitude,Community Board,Borough_CommBoard
2022,7424029,991 Ocean Ave,11226,2015,56,61.6,1701924.2,770.5,BROOKLYN,40.638333,-73.95877,314,BROOKLYN_314
2022,10419308,1288 East 19th Street,11230,2014,62,62.1,2655784.1,1737,BROOKLYN,40.619212,-73.956397,314,BROOKLYN_314
2022,10883072,623 Broadway,10012,1900,6,67.9,2313881.1,255.4,MANHATTAN,40.725943,-73.996352,102,MANHATTAN_102
2022,6724375,155 Water Street,11201,1910,99,23.9,717867.7,855.5,BROOKLYN,40.703147,-73.987864,302,BROOKLYN_302
2022,6724376,255 Water Street,11201,1900,100,20.4,766986.9,,BROOKLYN,40.703009,-73.983799,302,BROOKLYN_302
2022,6269404,220 72nd Street,11209,1931,66,77.6,2291814.2,1287.8,BROOKLYN,40.633959,-74.028852,310,BROOKLYN_310
2022,19928993,964-984 49 Street,11219,1928,57,89,8167800.9,6952.4,BROOKLYN,40.639535,-73.999596,312,BROOKLYN_312
2022,19928996,926 49 Street,11219,1960,100,18.7,1650885.9,4932.1,BROOKLYN,40.639894,-74.000195,312,BROOKLYN_312
2022,6684870,45 First Avenue,10003,1910,75,52.4,1742518.6,1545.1,MANHATTAN,40.724411,-73.987622,103,MANHATTAN_103
2022,6898232,65 Bank Street,10014,1910,90,65.7,1682403,853.1,MANHATTAN,40.736746,-74.004428,102,MANHATTAN_102
2022,26544016,132 West 112th Street,10027,2006,93,63.8,2599251.8,21.4,MANHATTAN,40.800162,-73.953241,110,MANHATTAN_110
2022,11960609,34-57 73 Street,11372,1929,99,45.3,2363627.4,,QUEENS,40.751247,-73.893098,403,QUEENS_403
2022,6821225,1381 Myrtle Avenue,11237,1931,4,68.5,2300541,926.1,BROOKLYN,40.698515,-73.92124,304,BROOKLYN_304
2022,6821242,347 Lorimer Street,11206,1931,66,50.5,1301705.9,,BROOKLYN,40.707294,-73.948271,301,BROOKLYN_301
2022,9612767,47 East 34th Street,10016,2007,42,81.7,8674658,4400.8,MANHATTAN,40.747559,-73.982449,106,MANHATTAN_106
2022,12748182,139 North 10th Street,11249,1910,86,32,1360364,814.6,BROOKLYN,40.71985,-73.956497,301,BROOKLYN_301
2022,26653421,185 South 4th Street,11211,2005,77,45.4,3244254.4,2993,BROOKLYN,40.711136,-73.96082,301,BROOKLYN_301
2022,26656150,11 Greene Street,10013,2017,41,55.4,3957804,,MANHATTAN,40.720857,-74.002868,102,MANHATTAN_102
2022,2807291,202 West 24th St.,10011,1904,26,129.7,9827129.1,14454.3,MANHATTAN,40.744939,-73.995604,104,MANHATTAN_104
2022,3113556,133 Pitt Street,10002,2010,64,98.9,10498898.6,9602,MANHATTAN,40.720227,-73.981562,103,MANHATTAN_103
2022,3113576,455 East 148th Street,10455,2009,50,89,9512911,9358.7,BRONX,40.814675,-73.916537,201,BRONX_201
2022,3113580,1505 St. Marks Avenue,11233,2011,84,58.2,3639808.5,1831.5,BROOKLYN,40.673458,-73.917849,316,BROOKLYN_316
2022,4000717,39 Hegeman Avenue,11212,2012,38,99.3,7921225.6,9465.8,BROOKLYN,40.655771,-73.910699,316,BROOKLYN_316
2022,6602988,4275 Park Avenue,10457,2017,50,97.2,20568076.3,,BRONX,40.849356,-73.898377,206,BRONX_206
2022,6602995,600 E 181st Street,10457,2015,90,55.5,4576859.5,6962.9,BRONX,40.850378,-73.890788,206,BRONX_206
2022,6819684,411 E 178th Street,10457,2018,83,67.2,6847401.2,12186.7,BRONX,40.849058,-73.899606,206,BRONX_206
